"ht" "circ" "bloc" "clone"
"932" 20.25 39 "2" "18-213"
"933" 21 47 "2" "18-213"
"934" 22.75 52 "2" "18-213"
"935" 19.75 36 "2" "18-213"
"936" 21.75 47 "2" "18-213"
"937" 23.25 55 "2" "18-214"
"938" 21.5 42 "2" "18-214"
"939" 24 57 "2" "18-214"
"940" 23.75 60 "2" "18-214"
"941" 18.75 36 "2" "18-214"
"942" 22 49 "2" "18-214"
"943" 24.5 61 "2" "18-214"
"945" 24.5 56 "2" "18-214"
"946" 21.5 53 "2" "18-216"
"947" 19.5 39 "2" "18-216"
"948" 22.5 57 "2" "18-216"
"949" 20.25 46 "2" "18-216"
"950" 21.25 53 "2" "18-216"
"951" 21.75 56 "2" "18-216"
"952" 21 53 "2" "18-216"
"953" 22 54 "2" "18-216"
"954" 20.5 46 "2" "18-216"
"955" 18.25 35 "2" "18-219"
"956" 23.75 50 "2" "18-219"
"957" 23.25 53 "2" "18-219"
"959" 23.75 53 "2" "18-219"
"960" 24.25 55 "2" "18-219"
"963" 23.75 51 "2" "18-219"
"964" 23.25 57 "2" "18-220"
"965" 24.5 63 "2" "18-220"
"966" 23.25 54 "2" "18-220"
"967" 22.25 49 "2" "18-220"
"968" 22.75 51 "2" "18-220"
"969" 22.75 50 "2" "18-220"
"970" 23.25 55 "2" "18-220"
"971" 24.25 64 "2" "18-220"
"972" 23.75 55 "2" "18-220"
"973" 24 64 "2" "18-223"
"974" 23.5 61 "2" "18-223"
"975" 24.75 65 "2" "18-223"
"976" 24.25 61 "2" "18-223"
"978" 19.5 43 "2" "18-223"
"979" 24.5 63 "2" "18-223"
"980" 20 45 "2" "18-223"
"981" 24 63 "2" "18-223"
"982" 24.25 55 "2" "18-225"
"983" 23.75 53 "2" "18-225"
"984" 21 42 "2" "18-225"
"985" 23 48 "2" "18-225"
"986" 16.25 29 "2" "18-225"
"987" 23.25 51 "2" "18-225"
"989" 22.5 46 "2" "18-225"
"990" 23.75 49 "2" "18-225"
"991" 21 47 "2" "18-226"
"992" 22.5 53 "2" "18-226"
"993" 23.75 55 "2" "18-226"
"994" 21.5 52 "2" "18-226"
"995" 22 50 "2" "18-226"
"996" 22 48 "2" "18-226"
"997" 21.75 53 "2" "18-226"
"998" 22.25 57 "2" "18-226"
"999" 23.75 59 "2" "18-226"
"1000" 22.25 56 "2" "18-227"
"1001" 23.75 58 "2" "18-227"
"1003" 23.25 60 "2" "18-227"
"1004" 20.25 44 "2" "18-227"
"1005" 18.5 39 "2" "18-227"
"1006" 21.25 52 "2" "18-227"
"1008" 22.5 56 "2" "18-227"
"1009" 23.75 60 "2" "18-228"
"1010" 23 54 "2" "18-228"
"1011" 23.75 60 "2" "18-228"
"1013" 23.75 56 "2" "18-228"
"1016" 24.75 58 "2" "18-228"
"1018" 22.75 55 "2" "18-230"
"1019" 22.5 54 "2" "18-230"
"1020" 22.75 53 "2" "18-230"
"1021" 22 49 "2" "18-230"
"1022" 22.5 54 "2" "18-230"
"1023" 23.25 56 "2" "18-230"
"1024" 22 50 "2" "18-230"
"1025" 21.5 49 "2" "18-230"
"1026" 21.75 45 "2" "18-230"
"1028" 21.5 61 "2" "18-231"
"1029" 20 53 "2" "18-231"
"1030" 20.25 56 "2" "18-231"
"1031" 16 36 "2" "18-231"
"1032" 19.5 50 "2" "18-231"
"1033" 19.25 41 "2" "18-231"
"1034" 19.5 47 "2" "18-231"
"1035" 19.25 47 "2" "18-231"
"1036" 21.25 43 "2" "18-232"
"1037" 22.75 55 "2" "18-232"
"1038" 21.75 39 "2" "18-232"
"1039" 21.25 43 "2" "18-232"
"1040" 23.25 52 "2" "18-232"
"1042" 23 50 "2" "18-232"
"1043" 23.75 46 "2" "18-232"
"1045" 15.75 33 "2" "18-233"
"1046" 19.75 44 "2" "18-233"
"1047" 19.25 40 "2" "18-233"
"1048" 20.5 47 "2" "18-233"
"1049" 17 35 "2" "18-233"
"1050" 21 46 "2" "18-233"
"1051" 20 38 "2" "18-233"
"1052" 20 45 "2" "18-233"
"1053" 21.75 48 "2" "18-233"
"1054" 21.5 49 "2" "18-234"
"1055" 19.75 38 "2" "18-234"
"1056" 21.25 48 "2" "18-234"
"1057" 20.75 44 "2" "18-234"
"1058" 21 44 "2" "18-234"
"1059" 20.25 41 "2" "18-234"
"1060" 21.5 43 "2" "18-234"
"1061" 20.25 41 "2" "18-234"
"1062" 19.5 39 "2" "18-234"
"1063" 20 42 "2" "18-235"
"1064" 19 37 "2" "18-235"
"1065" 18.75 41 "2" "18-235"
"1066" 20.75 43 "2" "18-235"
"1067" 20.5 45 "2" "18-235"
"1068" 20.75 50 "2" "18-235"
"1069" 19.5 39 "2" "18-235"
"1070" 19.75 47 "2" "18-235"
"1071" 20.75 48 "2" "18-235"
"1072" 20.5 45 "2" "18-236"
"1073" 20.5 49 "2" "18-236"
"1074" 20.25 46 "2" "18-236"
"1075" 20.75 46 "2" "18-236"
"1076" 20.25 44 "2" "18-236"
"1077" 20.25 47 "2" "18-236"
"1078" 20.5 45 "2" "18-236"
"1080" 20.25 47 "2" "18-236"
"1081" 20 42 "2" "18-240"
"1082" 20.25 45 "2" "18-240"
"1083" 20 44 "2" "18-240"
"1085" 19.75 46 "2" "18-240"
"1087" 20.5 45 "2" "18-240"
"1091" 16.5 34 "2" "18-242"
"1093" 16 31 "2" "18-242"
"1094" 19.25 45 "2" "18-242"
"1095" 12.75 27 "2" "18-242"
"1096" 15 28 "2" "18-242"
"1097" 19 44 "2" "18-242"
"1099" 18.25 39 "2" "18-244"
"1100" 20.25 51 "2" "18-244"
"1102" 18.75 39 "2" "18-244"
"1103" 19.5 44 "2" "18-244"
"1106" 18.75 43 "2" "18-244"
"1108" 23.5 53 "2" "18-245"
"1110" 23 55 "2" "18-245"
"1111" 20.5 40 "2" "18-245"
"1112" 22.25 49 "2" "18-245"
"1113" 22.25 51 "2" "18-245"
"1114" 23.75 59 "2" "18-245"
"1115" 21.25 42 "2" "18-245"
"1116" 22.25 51 "2" "18-245"
"1117" 21.75 50 "2" "18-246"
"1118" 21.75 53 "2" "18-246"
"1119" 21.25 48 "2" "18-246"
"1120" 21.25 45 "2" "18-246"
"1121" 20.25 44 "2" "18-246"
"1122" 20 45 "2" "18-246"
"1123" 21.25 46 "2" "18-246"
"1124" 21 46 "2" "18-246"
"1125" 19.75 45 "2" "18-246"
"1126" 19.75 33 "2" "18-247"
"1127" 21.5 44 "2" "18-247"
"1128" 23.5 52 "2" "18-247"
"1129" 22.75 48 "2" "18-247"
"1130" 15.5 28 "2" "18-247"
"1131" 22.25 49 "2" "18-247"
"1132" 21.5 46 "2" "18-247"
"1133" 19.25 40 "2" "18-247"
"1134" 23 54 "2" "18-247"
"1137" 22.25 53 "2" "18-248"
"1138" 21.25 45 "2" "18-248"
"1139" 18 33 "2" "18-248"
"1140" 23.75 59 "2" "18-248"
"1141" 22.75 53 "2" "18-248"
"1143" 22.25 51 "2" "18-248"
"1150" 20.25 45 "2" "18-249"
"1151" 11.5 26 "2" "18-249"
"1153" 21.5 44 "2" "18-250"
"1154" 20.75 35 "2" "18-250"
"1155" 21.75 44 "2" "18-250"
"1157" 21.25 46 "2" "18-250"
"1158" 21.75 43 "2" "18-250"
"1159" 16 28 "2" "18-250"
"1160" 21.5 45 "2" "18-250"
"1161" 21.75 44 "2" "18-250"
"1162" 16 33 "2" "18-253"
"1163" 16.75 34 "2" "18-253"
"1164" 16 32 "2" "18-253"
"1165" 14.5 28 "2" "18-253"
"1166" 20.25 49 "2" "18-253"
"1167" 19.75 46 "2" "18-253"
"1168" 14.75 30 "2" "18-253"
"1169" 18 38 "2" "18-253"
"1170" 20 47 "2" "18-253"
"1179" 17.5 44 "2" "18-254"
"1180" 20.75 49 "2" "18-258"
"1182" 17.5 35 "2" "18-258"
"1184" 19 45 "2" "18-258"
"1187" 20 48 "2" "18-258"
"1189" 18.5 40 "2" "18-263"
"1190" 17.75 37 "2" "18-263"
"1191" 16.25 34 "2" "18-263"
"1192" 15.25 30 "2" "18-263"
"1193" 18.25 37 "2" "18-263"
"1194" 17 37 "2" "18-263"
"1196" 19.75 48 "2" "18-263"
"1197" 13.5 27 "2" "18-263"
"1198" 20 36 "2" "18-273"
"1199" 21 44 "2" "18-273"
"1201" 21.5 47 "2" "18-273"
"1202" 17 31 "2" "18-273"
"1203" 13.5 26 "2" "18-273"
"1204" 13.75 28 "2" "18-273"
"1205" 20.75 49 "2" "18-273"
"1207" 22.75 43 "2" "18-275"
"1208" 24.25 50 "2" "18-275"
"1209" 18.25 35 "2" "18-275"
"1210" 19.25 33 "2" "18-275"
"1212" 21.25 40 "2" "18-275"
"1213" 23.75 51 "2" "18-275"
"1214" 23.25 49 "2" "18-275"
"1215" 21.5 43 "2" "18-275"
"1216" 14.5 31 "2" "18-276"
"1217" 19.75 46 "2" "18-276"
"1218" 17.25 37 "2" "18-276"
"1219" 16.25 37 "2" "18-276"
"1220" 18.5 42 "2" "18-276"
"1221" 17.25 41 "2" "18-276"
"1222" 16.25 38 "2" "18-276"
"1223" 17.75 38 "2" "18-276"
"1224" 16 34 "2" "18-276"
"1225" 18.75 38 "2" "18-277"
"1226" 21 49 "2" "18-277"
"1227" 19 40 "2" "18-277"
"1228" 21 48 "2" "18-277"
"1229" 21 48 "2" "18-277"
"1230" 18 37 "2" "18-277"
"1231" 18.5 40 "2" "18-277"
"1232" 19.5 41 "2" "18-277"
"1233" 18.25 39 "2" "18-277"
"1234" 20.25 40 "2" "18-278"
"1235" 20.5 42 "2" "18-278"
"1236" 20.25 40 "2" "18-278"
"1237" 21.25 43 "2" "18-278"
"1238" 22.75 48 "2" "18-278"
"1239" 21.5 42 "2" "18-278"
"1240" 19.25 38 "2" "18-278"
"1241" 21.25 41 "2" "18-278"
"1242" 20.25 41 "2" "18-278"
"1243" 14.5 33 "2" "18-279"
"1245" 19.25 47 "2" "18-279"
"1247" 19.5 50 "2" "18-279"
"1249" 17 35 "2" "18-279"
"1250" 19.5 51 "2" "18-279"
"1251" 17.5 38 "2" "18-279"
"1252" 21.5 47 "2" "18-282"
"1253" 19.25 38 "2" "18-282"
"1254" 20.75 47 "2" "18-282"
"1255" 21.75 51 "2" "18-282"
"1256" 20.5 39 "2" "18-282"
"1257" 21.75 49 "2" "18-282"
"1258" 21 43 "2" "18-282"
"1259" 22.25 50 "2" "18-282"
"1260" 19.75 37 "2" "18-282"
"1261" 21.25 55 "2" "18-283"
"1262" 20.75 52 "2" "18-283"
"1263" 20 50 "2" "18-283"
"1264" 19.25 41 "2" "18-283"
"1265" 18.5 43 "2" "18-283"
"1266" 20.5 50 "2" "18-283"
"1267" 20 50 "2" "18-283"
"1268" 19.5 43 "2" "18-283"
"1269" 18.5 40 "2" "18-283"
"1270" 19.5 47 "2" "18-284"
"1271" 20.75 55 "2" "18-284"
"1272" 19 48 "2" "18-284"
"1274" 19.5 45 "2" "18-284"
"1275" 19.5 45 "2" "18-284"
"1276" 20.5 51 "2" "18-284"
"1277" 21.25 57 "2" "18-284"
"1278" 19.5 45 "2" "18-284"
"1279" 18.5 41 "2" "18-287"
"1280" 20 46 "2" "18-287"
"1281" 19 42 "2" "18-287"
"1282" 18 40 "2" "18-287"
"1283" 20.25 48 "2" "18-287"
"1284" 17.5 36 "2" "18-287"
"1285" 17.5 39 "2" "18-287"
"1286" 19.25 42 "2" "18-287"
"1287" 13 26 "2" "18-287"
"1288" 23.5 49 "2" "18-295"
"1290" 21.75 45 "2" "18-295"
"1291" 24.5 52 "2" "18-295"
"1292" 23.75 47 "2" "18-295"
"1293" 22.75 46 "2" "18-295"
"1294" 25.5 58 "2" "18-295"
"1295" 23.75 52 "2" "18-295"
"1296" 23.75 51 "2" "18-295"
"1297" 22 49 "2" "18-298"
"1298" 17 34 "2" "18-298"
"1299" 22.25 60 "2" "18-298"
"1300" 20 39 "2" "18-298"
"1302" 23.25 58 "2" "18-298"
"1304" 22.5 62 "2" "18-298"
"1305" 21.25 51 "2" "18-298"
"1306" 16.75 33 "2" "18-301"
"1307" 22.75 54 "2" "18-301"
"1308" 22 47 "2" "18-301"
"1309" 17.75 34 "2" "18-301"
"1310" 21 45 "2" "18-301"
"1311" 21.25 46 "2" "18-301"
"1312" 20.25 43 "2" "18-301"
"1313" 22.25 50 "2" "18-301"
"1314" 20.75 45 "2" "18-301"
"1315" 24.75 60 "2" "18-309"
"1316" 23.75 58 "2" "18-309"
"1318" 23.25 61 "2" "18-309"
"1319" 20.5 45 "2" "18-309"
"1320" 22.75 54 "2" "18-309"
"1321" 24.25 60 "2" "18-309"
"1323" 21.75 57 "2" "18-309"
"1324" 25.25 56 "2" "18-317"
"1325" 24.25 58 "2" "18-317"
"1326" 17.75 42 "2" "18-317"
"1327" 24.25 59 "2" "18-317"
"1328" 21.75 52 "2" "18-317"
"1329" 24.25 60 "2" "18-317"
"1330" 23 55 "2" "18-317"
"1331" 22.75 54 "2" "18-317"
"1332" 25.25 65 "2" "18-317"
"1333" 23.75 57 "2" "18-323"
"1334" 24.75 59 "2" "18-323"
"1335" 23 55 "2" "18-323"
"1336" 24.5 57 "2" "18-323"
"1337" 22.75 45 "2" "18-323"
"1338" 22.25 48 "2" "18-323"
"1339" 25.25 66 "2" "18-323"
"1340" 23.75 56 "2" "18-323"
"1341" 24.25 63 "2" "18-323"
"1346" 22.75 63 "2" "18-50"
"1348" 22.25 59 "2" "18-50"
"1351" 24.5 64 "2" "18-52"
"1353" 21.25 45 "2" "18-52"
"1354" 21.25 43 "2" "18-52"
"1355" 20.5 38 "2" "18-52"
"1356" 22 53 "2" "18-52"
"1357" 20.75 53 "2" "18-52"
"1358" 21.5 55 "2" "18-52"
"1359" 20.5 48 "2" "18-52"
"1360" 20.5 50 "2" "2-6"
"1361" 19.75 49 "2" "2-6"
"1362" 19.5 49 "2" "2-6"
"1363" 21.75 45 "2" "2-6"
"1364" 19.75 47 "2" "2-6"
"1365" 18 37 "2" "2-6"
"1366" 20 46 "2" "2-6"
"1367" 20 51 "2" "2-6"
"1368" 19 45 "2" "2-6"
"1369" 17.75 36 "3" "L2-123"
"1371" 19.5 45 "3" "L2-123"
"1372" 17.25 36 "3" "L2-123"
"1374" 18.75 41 "3" "L2-123"
"1375" 20.75 51 "3" "L2-123"
"1377" 19 43 "3" "L2-123"
"1378" 20.75 35 "3" "1-105"
"1379" 22 38 "3" "1-105"
"1380" 16.75 29 "3" "1-105"
"1381" 17.5 29 "3" "1-105"
"1382" 21.25 39 "3" "1-105"
"1383" 15.25 27 "3" "1-105"
"1384" 21.25 39 "3" "1-105"
"1385" 21.75 40 "3" "1-105"
"1386" 18.25 32 "3" "1-105"
"1387" 22.5 38 "3" "1-41"
"1388" 14 28 "3" "1-41"
"1390" 21.5 41 "3" "1-41"
"1391" 23.25 44 "3" "1-41"
"1394" 23.75 46 "3" "1-41"
"1395" 18 34 "3" "1-41"
"1396" 23.75 59 "3" "18-181"
"1397" 24.75 59 "3" "18-181"
"1398" 19.5 41 "3" "18-181"
"1399" 22.25 52 "3" "18-181"
"1400" 24.25 55 "3" "18-181"
"1401" 21 43 "3" "18-181"
"1402" 21.5 49 "3" "18-181"
"1403" 23.75 54 "3" "18-181"
"1404" 22.75 50 "3" "18-181"
"1405" 21.75 47 "3" "18-189"
"1406" 21.75 43 "3" "18-189"
"1407" 22.25 46 "3" "18-189"
"1408" 23.5 52 "3" "18-189"
"1409" 23.25 48 "3" "18-189"
"1410" 22.5 43 "3" "18-189"
"1411" 23.5 55 "3" "18-189"
"1412" 25.5 61 "3" "18-189"
"1413" 23.75 49 "3" "18-189"
"1414" 20.75 44 "3" "18-193"
"1416" 20.25 37 "3" "18-193"
"1420" 21.25 48 "3" "18-193"
"1421" 24.75 62 "3" "18-193"
"1422" 19.25 40 "3" "18-193"
"1423" 20 40 "3" "18-194"
"1424" 19.5 40 "3" "18-194"
"1425" 22.25 53 "3" "18-194"
"1426" 19.75 43 "3" "18-194"
"1427" 19.25 37 "3" "18-194"
"1429" 21.75 49 "3" "18-194"
"1430" 22.75 54 "3" "18-194"
"1431" 20.25 44 "3" "18-194"
"1432" 20.5 34 "3" "18-195"
"1433" 21.25 42 "3" "18-195"
"1434" 21.75 44 "3" "18-195"
"1435" 21.5 43 "3" "18-195"
"1436" 20.25 39 "3" "18-195"
"1437" 22.25 46 "3" "18-195"
"1438" 19.25 41 "3" "18-195"
"1439" 22.25 50 "3" "18-195"
"1440" 20.75 39 "3" "18-195"
"1441" 18.25 33 "3" "18-196"
"1442" 22.75 53 "3" "18-196"
"1443" 21.25 43 "3" "18-196"
"1444" 20 51 "3" "18-196"
"1445" 24.25 53 "3" "18-196"
"1446" 22.5 46 "3" "18-196"
"1447" 22.75 48 "3" "18-196"
"1448" 24.25 56 "3" "18-196"
"1449" 23.75 52 "3" "18-196"
"1450" 22.5 49 "3" "18-198"
"1451" 21.75 46 "3" "18-198"
"1452" 22 43 "3" "18-198"
"1453" 22.5 46 "3" "18-198"
"1454" 23.25 50 "3" "18-198"
"1455" 21.5 41 "3" "18-198"
"1456" 23 52 "3" "18-198"
"1457" 21.25 42 "3" "18-198"
"1458" 21 42 "3" "18-198"
"1460" 22.75 52 "3" "18-199"
"1461" 21.75 51 "3" "18-199"
"1462" 22.75 55 "3" "18-199"
"1463" 21 42 "3" "18-199"
"1464" 21.75 46 "3" "18-199"
"1465" 23.25 53 "3" "18-199"
"1466" 23 55 "3" "18-199"
"1467" 22.25 51 "3" "18-199"
"1468" 21.25 48 "3" "18-203"
"1469" 24 57 "3" "18-203"
"1470" 15.75 31 "3" "18-203"
"1471" 15.75 33 "3" "18-203"
"1472" 23.75 57 "3" "18-203"
"1473" 21.25 46 "3" "18-203"
"1474" 23.75 58 "3" "18-203"
"1475" 25.5 62 "3" "18-203"
"1476" 17 31 "3" "18-203"
"1477" 21.5 48 "3" "18-205"
"1478" 21.75 44 "3" "18-205"
"1479" 25.25 57 "3" "18-205"
"1480" 24.75 57 "3" "18-205"
"1481" 22.75 47 "3" "18-205"
"1482" 24.25 53 "3" "18-205"
"1483" 24.25 55 "3" "18-205"
"1484" 23 46 "3" "18-205"
"1485" 25.25 55 "3" "18-205"
"1486" 25.25 62 "3" "18-208"
"1487" 24.75 60 "3" "18-208"
"1488" 24.75 63 "3" "18-208"
"1489" 25.25 61 "3" "18-208"
"1491" 20.75 47 "3" "18-208"
"1492" 25.75 63 "3" "18-208"
"1493" 23.25 55 "3" "18-208"
"1495" 23.75 60 "3" "18-209"
"1496" 27 72 "3" "18-209"
"1497" 17.75 37 "3" "18-209"
"1498" 25.75 67 "3" "18-209"
"1499" 16.25 32 "3" "18-209"
"1500" 26.75 73 "3" "18-209"
"1501" 24.25 63 "3" "18-209"
"1502" 27.75 77 "3" "18-209"
"1503" 12.5 27 "3" "18-209"
"1504" 19.75 35 "3" "18-210"
"1505" 25.75 55 "3" "18-210"
"1506" 24.25 45 "3" "18-210"
"1507" 25.5 58 "3" "18-210"
"1508" 22.25 43 "3" "18-210"
"1509" 24.75 55 "3" "18-210"
"1510" 26 59 "3" "18-210"
"1512" 25.5 59 "3" "18-210"
"1513" 21.75 48 "3" "18-216"
"1514" 21.75 48 "3" "18-216"
"1515" 23.25 56 "3" "18-216"
"1517" 23.25 57 "3" "18-216"
"1519" 21.5 46 "3" "18-216"
"1520" 22.25 52 "3" "18-216"
"1521" 22.75 54 "3" "18-216"
"1522" 24.25 57 "3" "18-220"
"1523" 22.25 44 "3" "18-220"
"1524" 23 51 "3" "18-220"
"1525" 23.25 57 "3" "18-220"
"1526" 23.25 53 "3" "18-220"
"1527" 24.25 59 "3" "18-220"
"1528" 24.25 61 "3" "18-220"
"1529" 24.25 59 "3" "18-220"
"1530" 15 30 "3" "18-220"
"1531" 25.25 64 "3" "18-223"
"1532" 25.5 59 "3" "18-223"
"1533" 25.25 66 "3" "18-223"
"1534" 24.25 56 "3" "18-223"
"1535" 22.5 47 "3" "18-223"
"1536" 25 60 "3" "18-223"
"1537" 25.25 62 "3" "18-223"
"1538" 24.25 59 "3" "18-223"
"1539" 24.25 58 "3" "18-223"
"1540" 21.75 49 "3" "18-225"
"1541" 24 56 "3" "18-225"
"1542" 22.75 51 "3" "18-225"
"1543" 20 46 "3" "18-225"
"1544" 23.25 53 "3" "18-225"
"1545" 16.5 33 "3" "18-225"
"1546" 21 41 "3" "18-225"
"1547" 23.75 54 "3" "18-225"
"1548" 22 46 "3" "18-225"
"1549" 25 64 "3" "18-226"
"1550" 24.75 57 "3" "18-226"
"1551" 24.75 57 "3" "18-226"
"1553" 25.25 62 "3" "18-226"
"1554" 14.25 26 "3" "18-226"
"1556" 25 61 "3" "18-226"
"1557" 25.25 65 "3" "18-226"
"1558" 23.75 57 "3" "18-227"
"1559" 23.25 53 "3" "18-227"
"1560" 22.75 54 "3" "18-227"
"1561" 22.25 52 "3" "18-227"
"1562" 23 53 "3" "18-227"
"1563" 22.75 47 "3" "18-227"
"1564" 24.25 58 "3" "18-227"
"1565" 24.25 60 "3" "18-227"
"1566" 22.5 47 "3" "18-227"
"1567" 26.5 64 "3" "18-228"
"1568" 17.5 34 "3" "18-228"
"1569" 25.75 53 "3" "18-228"
"1570" 24.25 52 "3" "18-228"
"1571" 24.5 50 "3" "18-228"
"1572" 24.25 56 "3" "18-228"
"1573" 25 60 "3" "18-228"
"1574" 19.5 38 "3" "18-228"
"1575" 24.75 60 "3" "18-228"
"1579" 18.5 42 "3" "18-231"
"1585" 16.75 31 "3" "18-232"
"1586" 22 48 "3" "18-232"
"1587" 19.25 43 "3" "18-232"
"1588" 21.5 49 "3" "18-232"
"1589" 18.75 37 "3" "18-232"
"1590" 17.75 40 "3" "18-232"
"1591" 21 49 "3" "18-232"
"1592" 19.25 39 "3" "18-232"
"1595" 20.75 47 "3" "18-233"
"1596" 20 44 "3" "18-233"
"1597" 19.5 37 "3" "18-233"
"1598" 20.75 46 "3" "18-233"
"1599" 20 44 "3" "18-233"
"1600" 21.25 46 "3" "18-233"
"1601" 20.5 44 "3" "18-233"
"1602" 20.5 45 "3" "18-233"
"1603" 21.75 49 "3" "18-236"
"1604" 21.25 47 "3" "18-236"
"1605" 21.75 49 "3" "18-236"
"1606" 22 52 "3" "18-236"
"1607" 23.75 62 "3" "18-236"
"1608" 22.25 52 "3" "18-236"
"1610" 21.5 49 "3" "18-236"
"1611" 17.25 38 "3" "18-236"
"1612" 20 44 "3" "18-244"
"1613" 16.25 35 "3" "18-244"
"1614" 19.75 44 "3" "18-244"
"1615" 19.75 38 "3" "18-244"
"1617" 18.25 39 "3" "18-244"
"1619" 20.5 45 "3" "18-244"
"1620" 20.25 48 "3" "18-244"
"1621" 23.25 57 "3" "18-246"
"1622" 21.5 52 "3" "18-246"
"1623" 22.75 53 "3" "18-246"
"1624" 22.75 54 "3" "18-246"
"1626" 22.75 53 "3" "18-246"
"1628" 21.75 54 "3" "18-246"
"1629" 22.25 53 "3" "18-246"
"1630" 21.75 40 "3" "18-247"
"1631" 21.25 43 "3" "18-247"
"1633" 22.75 44 "3" "18-247"
"1635" 17 33 "3" "18-247"
"1636" 23.25 49 "3" "18-247"
"1637" 22.5 43 "3" "18-247"
"1638" 23.5 52 "3" "18-247"
"1639" 20.5 42 "3" "18-250"
"1640" 22 46 "3" "18-250"
"1641" 21.5 42 "3" "18-250"
"1642" 22.25 45 "3" "18-250"
"1643" 21.75 42 "3" "18-250"
"1644" 23 48 "3" "18-250"
"1645" 22.25 45 "3" "18-250"
"1646" 22.25 49 "3" "18-250"
"1647" 22.75 48 "3" "18-250"
"1648" 18.5 43 "3" "18-253"
"1650" 18.25 40 "3" "18-253"
"1651" 21 52 "3" "18-253"
"1653" 18.75 39 "3" "18-253"
"1654" 21.75 53 "3" "18-253"
"1655" 23 53 "3" "18-253"
"1657" 21.75 48 "3" "18-278"
"1658" 20.75 42 "3" "18-278"
"1659" 20.75 44 "3" "18-278"
"1660" 22 46 "3" "18-278"
"1662" 21.75 50 "3" "18-278"
"1663" 20.25 44 "3" "18-278"
"1664" 17 34 "3" "18-278"
"1665" 20.75 43 "3" "18-278"
"1666" 22.25 49 "3" "18-282"
"1667" 21.25 44 "3" "18-282"
"1668" 23 56 "3" "18-282"
"1669" 22.5 50 "3" "18-282"
"1670" 21.25 46 "3" "18-282"
"1671" 21.75 48 "3" "18-282"
"1672" 22.75 50 "3" "18-282"
"1673" 20 39 "3" "18-282"
"1674" 22.25 49 "3" "18-282"
"1675" 18.75 43 "3" "18-283"
"1676" 18.5 44 "3" "18-283"
"1677" 18.25 45 "3" "18-283"
"1678" 18.25 44 "3" "18-283"
"1679" 20.5 39 "3" "18-283"
"1680" 18 43 "3" "18-283"
"1681" 20.75 48 "3" "18-283"
"1682" 18.75 38 "3" "18-283"
"1683" 19 45 "3" "18-283"
"1684" 20.25 48 "3" "18-284"
"1685" 22.5 53 "3" "18-284"
"1687" 19 42 "3" "18-284"
"1688" 21 52 "3" "18-284"
"1690" 20.75 48 "3" "18-284"
"1691" 22 57 "3" "18-284"
"1692" 18.25 39 "3" "18-284"
"1702" 20.5 43 "3" "18-309"
"1703" 23 60 "3" "18-309"
"1704" 23.75 57 "3" "18-309"
"1705" 22.5 54 "3" "18-309"
"1706" 22.25 50 "3" "18-309"
"1707" 23 55 "3" "18-309"
"1708" 23.75 55 "3" "18-309"
"1709" 16.75 34 "3" "18-309"
"1710" 24.75 65 "3" "18-309"
"1711" 22.25 52 "3" "18-50"
"1712" 22.25 51 "3" "18-50"
"1713" 22.75 53 "3" "18-50"
"1714" 21.75 51 "3" "18-50"
"1715" 22 49 "3" "18-50"
"1716" 22 46 "3" "18-50"
"1717" 22 52 "3" "18-50"
"1718" 23.25 55 "3" "18-50"
"1719" 22.75 50 "3" "18-50"
"1720" 22.25 52 "3" "18-52"
"1721" 22.75 59 "3" "18-52"
"1722" 22.75 57 "3" "18-52"
"1723" 21.5 40 "3" "18-52"
"1724" 22.75 54 "3" "18-52"
"1725" 21.25 46 "3" "18-52"
"1726" 22.75 46 "3" "18-52"
"1727" 22.5 54 "3" "18-52"
"1728" 22.25 52 "3" "18-52"
"1729" 21.25 51 "3" "2-6"
"1730" 20.25 52 "3" "2-6"
"1732" 16.5 37 "3" "2-6"
"1733" 17 41 "3" "2-6"
"1735" 20.25 50 "3" "2-6"
"1736" 20.25 37 "3" "2-6"
"1737" 19.75 40 "3" "2-6"
