O3;T6;T12;Ne12;Ne15;Vx;O3v
42.8;14.1;16.9;7;7;-1.9696;58.6
79;14.6;17.7;8;6;1;42.8
73.6;12.5;18.9;5;5;-0.8682;79
56.4;13.2;18.9;8;8;-4;73.6
65.8;15.8;19.1;7;7;-3.9392;56.4
79;15.7;21.3;6;7;-4.3301;65.8
37;16.4;21.3;7;7;-7.7942;79
65.4;14;18.9;4;4;-3;37
67.2;11.2;19.1;5;5;-1.7101;65.4
57;12.7;17.4;8;8;-2.9544;67.2
50.4;16.1;19.7;7;7;-4.924;57
78;15.6;21.1;5;4;-6;50.4
64;12.7;19.6;7;7;-2.8191;78
91.6;13.9;26.1;6;5;-2.5712;64
72.8;14.5;24.5;2;7;-1.7321;91.6
76.4;14.3;20.3;5;4;-5.1423;72.8
76.2;13.3;21.6;8;8;-3;76.4
55.2;15.7;17.7;8;8;-1;76.2
79.2;11.4;21.1;3;4;2.5712;55.2
110;10.7;22.8;6;5;2.9544;79.2
121.6;12.2;20;8;3;-0.866;110
69.4;14.8;19.1;8;7;-1.7101;121.6
49;15;17.1;8;7;-4.4995;69.4
59;15.1;18.4;8;8;-6.9282;49
56.2;13.4;20.2;7;7;-5.6382;59
57.2;12.1;20;6;7;-1.2856;56.2
68.8;11.6;19.3;6;6;2;57.2
80.2;11.6;21.5;3;4;1.9284;68.8
88.2;10.5;22.6;7;6;-3.7588;80.2
144.8;16.3;33.2;2;2;-3.7588;155.6
76.2;16.1;26.7;6;3;-0.684;144.8
79.4;15.1;23.7;7;6;-3.2139;76.2
121.6;12.1;21.3;4;5;0;79.4
78.4;11.6;23.8;5;5;-0.866;121.6
100;12.4;23.8;6;6;0.6946;78.4
75.2;11.7;23.1;3;2;-0.8682;100
71.4;10.8;22.4;5;7;-2;75.2
98.6;14.2;18.5;7;6;0.3473;71.4
79.4;11.5;22.6;3;3;0;98.6
55.8;11.6;20.5;7;7;-2.5712;79.4
45.6;17.7;21.7;7;7;-4.4995;55.8
68;17;21.5;8;8;-4.6985;45.6
69.2;11.6;21.1;4;7;-3.4641;68
94.6;16.2;21.3;4;3;-3.5;69.2
97.2;13.4;19.5;2;3;4.5963;84.6
101.6;7;19.3;5;4;0.8682;97.2
102.6;8.7;20.9;5;5;2.9544;101.6
115.8;11.4;23;2;2;3.7588;102.6
74.2;15.5;17.8;6;6;-3.8302;55.6
78.4;16.1;22.6;7;7;-1.3892;74.2
78.6;16.3;23.2;5;4;-5.1962;78.4
75.6;16.6;23.1;4;2;-8.8633;78.6
67.8;18.3;23;5;6;-7.7942;75.6
70;16.4;17.3;6;5;-5.6382;67.8
68;13.3;14.3;8;7;-2.2981;70
80.2;9.9;13.3;8;5;-4.3301;68
87.8;10.6;14.8;6;4;-1.5628;80.2
64.6;10.2;13.9;6;6;-6.1284;87.8
63.6;11.9;18.4;8;5;-4.6985;64.6
74.6;13.6;18.2;7;7;-3;63.6
70.2;12.3;19.2;6;6;-2.5712;74.6
92.2;9.2;22.2;3;4;1.2856;70.2
91.6;11.4;22.3;2;1;5.9088;92.2
85.6;12.4;23.2;0;2;5;91.6
98.8;12.6;22;2;2;6;85.6
94.6;11.6;21.2;1;1;5;98.8
116.2;10.9;22.6;3;4;3.9392;94.6
86.6;13.1;19.6;6;5;0;116.2
57.8;14.3;15.9;8;8;1.9284;86.6
76.2;16.2;20.1;6;6;-0.8682;57.8
72;13.6;18.6;7;7;-2.5712;76.2
65.8;15;17.7;7;4;-4.3301;72
69.8;12.7;15.4;8;7;1.5;65.8
78.8;13.6;15.1;6;8;-4.5;69.8
90.4;9.2;17.3;7;7;0;104.2
87.2;7.4;14.5;7;8;-5.3623;90.4
96;12.8;17.2;6;2;-4.924;87.2
69.4;11.3;16.4;7;8;-1.9284;96
82.6;10.3;18.2;6;1;-3.8302;69.4
83.2;10.9;15.3;7;6;-3.9392;82.6
91.6;9.6;13.4;5;4;-2.7362;83.2
92.2;4.6;14.6;6;5;-2;91.6
41.6;10;13.5;8;8;-0.9848;92.2
88.8;9.9;10.9;8;8;-3;41.6
98.8;5.5;12.2;6;3;-0.8682;88.8
87.8;10.9;13.7;6;4;-9;98.8
87;8.1;9.7;7;6;-6.8944;87.8
80.4;5.8;6.1;8;7;-4.6985;87
86;1.8;8.5;5;5;-4.5;80.4
88.6;2.5;8.9;7;7;0;86
98.6;3.7;12.8;4;4;0.8682;88.6
93.2;3.8;9.8;6;6;-4.6985;98.6
83.2;4.6;8.1;8;8;2;93.2
95.4;11.8;12.7;8;8;-1.5628;83.2
100.6;11.6;13.8;6;8;-6.1284;95.4
100.2;8.7;14.4;5;4;-6.5778;100.6
89.6;10.1;10.1;8;7;-10.3923;100.2
98.4;5.5;15.1;4;5;-3.9392;89.6
67;9;11.9;8;8;1.3681;98.4
95;9.9;15.8;6;5;1.5321;67
101;11;18.9;7;7;5.6382;95
100.8;11.2;18.7;4;4;8.6603;101
91;13.2;18.5;5;6;5.6382;100.8
94;10.8;18.3;7;7;1;91
112.6;10.6;22.4;7;6;2.5981;94
111.6;11.4;23.2;1;1;5;112.6
111;13.1;24.1;2;7;3.9392;111.6
97.4;14.2;18.5;7;6;-0.6946;111
105.6;9.7;16.5;8;7;-2.5712;97.4
91.4;11.5;19.3;4;5;-1.0261;105.6
75.2;14.5;18.2;8;7;-1.9696;91.4
92.4;11.5;18.2;5;3;-5.7851;75.2
109.4;9.9;22.6;7;7;2.7362;92.4
89.6;13.4;18;7;7;-4.5963;109.4
83.6;13.5;14;8;8;-0.8682;89.6
79.6;11.5;15.3;8;7;-2.5981;83.6
91.2;8.5;17;7;6;-4.5963;79.6
85;8.8;16.3;5;6;-1.7321;91.2
91.4;10.4;17.5;4;5;-0.5209;85
106;10.3;18.4;5;4;5;91.4
93.4;9.7;15.5;8;8;7.7942;106
80.6;10.7;16.4;8;7;-4;96.8
96;12.2;16.9;6;7;-3.4641;80.6
82.4;9.4;17.6;8;8;-2.9544;96
71.4;13;16.7;7;8;1;82.4
89.6;13;15.9;6;7;0.684;71.4
98;9.7;22;1;1;1.9696;89.6
113.4;16.1;24.9;4;1;3.4641;98
93.8;14.5;22.9;2;1;1;113.4
124.4;17.8;25.3;5;5;-0.8682;93.8
90.2;14.5;21.4;3;2;0;124.4
93;14.8;22.3;7;8;1.5;90.2
95.2;16.9;25.8;7;5;3.0642;93
88.6;17.5;16.9;8;7;-6.0622;95.2
77.8;13.5;16.1;7;6;-5.7851;88.6
70;14.3;15.4;7;7;-4.3301;77.8
80.8;11.3;14.2;6;8;-7.6604;70
79.4;11;17.1;7;6;-2.5;80.8
71;12;14.2;7;6;-2.2981;79.4
82.4;8.5;15.8;7;8;-4;71
79.8;12.1;17.4;7;8;-2.5712;82.4
101.6;12.4;18.1;7;6;-0.5209;79.8
94.6;10.7;18.6;5;6;0.6946;101.6
107.6;10.2;19.7;3;7;-1.7321;94.6
102;10.2;18.3;4;4;-0.8682;107.6
122.2;11.9;20.5;4;3;0.8682;102
138.2;13.1;23.4;1;3;0.3473;122.2
153.2;13.8;24.7;6;2;-1.7321;138.2
112.4;15.6;21.8;3;5;0;153.2
105.4;13.4;20.3;5;4;-0.1736;112.4
109;12.3;21.3;3;4;-2;105.4
71.4;15.4;18.7;8;8;-5.6382;109
74.6;10.8;15.9;6;5;-3.5;71.4
80.2;8.7;18;7;6;-0.684;74.6
74.4;15.6;19.2;6;7;-6.8937;103.2
62.2;13.4;15.7;7;7;-5.3623;74.4
62.6;16.4;22.3;6;7;-6.1284;62.2
67.8;13.8;17.6;7;7;-2.8191;62.6
53.6;15.4;22.5;7;6;-4.6985;67.8
108.6;17.1;29.7;0;2;3.8302;53.6
67.8;17.5;20.9;7;7;-3.2139;108.6
63;16.1;19.3;8;8;-0.6946;67.8
71;16.1;19.3;6;6;0.6946;63
70;15.1;20.5;6;2;-1.7101;71
51.4;14.5;18.9;8;8;-3.0642;70
106.4;14.5;24.9;5;4;4.3301;51.4
118;17.7;25.7;4;2;1.0419;132
118.2;18;25.6;3;1;1.7101;118
127.2;17.3;26.2;4;7;0;118.2
79;16.5;21.7;3;5;-4.924;127.2
75.8;17.1;22.6;5;4;-1.0261;79
75.6;12.1;19.5;8;1;-1.5321;75.8
107.8;14.3;26;3;3;-1.0261;75.6
130.6;15.9;28.1;4;4;1.5321;107.8
63.6;15.6;21.7;7;7;-2.3941;130.6
63.2;18.3;22.1;7;8;-5.3623;63.6
71;16.4;19.3;7;7;-4.6985;63.2
58;13.9;16.9;7;7;-0.8682;71
84.2;15;21.6;4;4;1;58
111.4;12.9;25.7;0;0;3.9392;84.2
118.6;15.2;29.7;0;1;6;111.4
122.2;21.7;31.1;5;4;8;118.6
136;18.5;26.7;6;6;5.1962;122.2
141.4;16.2;26.8;1;3;3.2139;136
143.4;16.7;26.4;5;6;0;159.2
132.4;16.7;27.8;2;6;-0.5209;143.4
98;16.6;26.7;7;7;0.684;132.4
85.2;16.8;23.8;5;4;1.0261;98
45.6;17.9;21.3;8;8;3.4641;85.2
62.2;15.7;24.1;6;6;-3.2139;45.6
67.2;17.6;22.1;6;7;2.5981;62.2
82;15.4;24.5;5;4;0;67.2
92.2;16.5;17.4;6;6;-4.5963;82
70;15.2;20.4;7;6;0;92.2
74;17;19.8;7;7;-3.8567;70
79.2;14.7;19.7;7;7;-1.2856;74
83.6;15.3;21.8;6;6;-1.7321;79.2
66;15.3;22.5;7;6;-2.2981;83.6
59;17.1;22.4;6;4;-5.6382;66
51.2;13.1;19.7;8;8;-3.8302;59
58.2;14;20.1;7;6;-2.9544;51.2
58.8;13.8;17.1;7;8;-4.3301;58.2
72.6;14.5;21.1;4;6;-7.7942;58.8
73;13.1;20.7;4;6;-5.9088;72.6
76.8;11.4;20.7;5;6;-1;73
109.2;14.7;24.1;6;5;4;76.8
107.2;14.4;24.3;3;3;3.7588;109.2
66.4;17.1;22.8;6;7;-1.8794;107.2
99;16.8;27.4;3;3;-0.5209;66.4
100.8;18.9;23.8;8;6;0;99
74;17.6;23.8;4;3;-2.8191;100.8
75.2;14.8;22.6;3;6;-0.1736;74
86;14.7;23.7;2;3;4;75.2
128.8;12;24.8;5;6;0;86
98.6;15.6;24.9;2;3;2;128.8
71.8;11.8;22.1;6;3;-0.6946;98.6
85.4;11.2;22.2;1;1;-0.6946;71.8
114.2;13.3;27.5;1;1;4.6985;85.4
106.4;15.6;25.3;4;2;4.924;114.2
139.2;11.6;25.9;1;1;4.3301;106.4
139;14.3;27.5;4;5;0.5;139.2
129.8;14.3;24.9;3;4;-1.0261;139
105.4;14.6;23;5;7;-3.0642;129.8
85.4;15.7;23.7;4;2;-0.8682;105.4
52.4;17.1;19.5;7;8;0;85.4
114.8;13;28.6;0;5;1.9284;52.4
133.4;17.5;30.7;4;2;-3;114.8
67.2;16.4;19.4;7;7;-0.3473;133.4
66.2;13.3;18.9;6;8;-0.6946;67.2
58.8;11.6;15.3;8;7;0.3473;66.2
79.4;7;19.6;2;1;-3;58.8
69.6;12.5;18.5;7;6;-3.8302;79.4
63.2;12.3;17.6;7;5;-2.5981;69.6
58.8;14.1;16.9;8;8;1.3892;63.2
66.8;13.5;18.3;7;8;1.3681;58.8
55.4;13.3;19;7;7;-1.2155;66.8
45.6;12.4;15.9;8;7;0;55.4
61.4;17.3;22.9;2;7;-4;45.6
67.8;16.5;20.6;7;7;-7.0707;61.4
67.2;16.7;22.2;3;6;-4.5;67.8
73.2;15.2;18;7;7;-2.7362;67.2
75.2;12.7;18.8;7;6;-2.5;73.2
75;16.2;17;8;6;-6.0622;75.2
63.4;12.1;17.6;8;8;-3.2139;75
67.4;16.3;18.3;7;7;-4.4995;63.4
65.8;12.7;17.9;6;7;-5.6382;67.4
76;5.9;9.9;7;7;-6.5778;40
53;6;10.2;8;8;3.4641;76
57;8.9;15;6;8;1.3681;53
61;8.2;8.1;8;8;-1.3892;57
61;3.2;5.8;8;8;1.0419;61
77;1.7;9.5;6;6;1.8794;61
66;-0.5;13.4;0;0;7;77
80;4.5;17.2;1;1;4.924;66
74;3.9;12.5;7;7;5.1962;80
56;9;10.9;8;5;3;74
69;1.1;10;7;7;-5.3623;56
63;1.9;8.7;6;6;-6.1284;69
65;5.4;13.7;6;4;-6.8937;63
54;5.2;7.7;8;8;5;65
60;7.6;7.8;8;6;-9.3969;54
69;2.2;7.9;8;6;4.6985;60
64;7.1;13.2;7;5;-8.6603;69
56;9.8;11.6;8;7;-1.3892;64
61;5.1;13.5;7;8;-2.0521;56
58;12.5;15;8;8;-4.4995;61
71;9.9;17;6;6;-4;58
69;9.6;15.2;7;6;-3.2139;71
73;8.5;13.8;5;6;-6.0622;69
57;6.9;11.6;8;8;2.3941;73
61;12;14.1;8;8;-2.3941;57
66;9.7;14.5;5;7;-5.7851;61
56;8.4;13.4;7;8;-0.3473;66
72;8.5;14.4;6;6;0;56
70;7;15.8;5;5;1.7101;72
75;7.2;19.3;6;6;4.924;70
79;12.4;20.2;8;2;4.3301;75
60;12;16.9;6;8;5.6382;79
58;11.2;14.8;8;8;5.1962;60
54;11;16;8;7;3.4641;58
90;13.4;21.8;4;2;4;54
91;14.6;22.3;6;6;0.684;90
75;14.5;19.6;7;7;1;91
71;13;18.5;7;7;1;75
74;12.9;19;6;6;2;71
77;15.1;18.3;6;6;2.8191;74
68;15.4;17.9;8;7;4.3301;77
75;14.2;16.1;8;7;-0.1736;68
94;12.7;17.9;5;2;0.342;75
92;12.3;23.1;5;5;2.9544;94
113;13.7;26;4;3;0;92
93;16;21.2;4;3;-3.0642;113
87;10.5;16.2;6;6;-4;93
83;11.2;14.2;6;7;-2.5;87
79;9.8;14.7;6;7;-4.6985;83
82;9.2;16.1;6;7;0;79
75;10.6;14.2;6;5;-3.8567;82
73;10.8;15.7;7;7;-3.7588;75
81;12.5;18.3;7;7;-4.4995;73
57;14.2;16.4;8;8;-2.5;81
81;11.1;17.2;6;5;-4.924;57
73;10.8;13.6;8;8;1.3892;81
77;8.6;14.7;7;8;-4.4995;73
78;9.9;15.1;5;6;-6;77
77;8.7;15.8;7;7;-2.5981;78
59;13;15.1;8;8;-4.3301;77
67;12.1;16.4;7;6;-0.5209;59
67;13.1;17.9;6;3;-3.2139;67
86;13.1;21.1;4;2;-0.5;67
72;14.4;19;8;5;-2.9544;86
82;11;19;5;5;-1.9284;72
61;12.4;16.4;8;8;-1.5;82
70;9.2;17.6;8;8;-2.2981;61
85;9;18.6;5;4;2.9544;70
107;12.7;23.2;1;1;2.5;85
83;13.3;18.5;7;4;-2.5712;76
75;13.8;18.8;7;3;-1.2856;83
59;14.3;20.1;6;2;0.9397;75
63;15.2;21.8;2;2;-1.5;59
52;13.7;20.6;2;1;-0.3473;63
102;15.6;25.7;0;3;2.9544;52
108;17.8;27.5;1;1;3.4641;102
116;17.6;29.2;0;0;4.3301;108
131;20.6;28.3;1;2;0;116
99;17.4;23.3;4;7;-0.684;131
76;17.2;21.6;6;6;-6.8944;99
75;14.7;19;7;7;-6.5778;76
60;14.3;17.6;7;7;-4.924;75
70;12.7;17.1;8;7;-3.2139;60
81;11.8;17.7;6;6;2.2981;70
106;11.8;21.9;4;3;4;81
112;14.2;23;5;4;7;106
128;15.8;24.1;7;7;1.9696;112
100;16.3;23.2;6;7;-1.2856;128
94;15;22.1;6;7;-0.684;100
75;16.3;24;5;5;-4.4995;94
73;15.3;21.7;7;2;0.3473;75
67;14.4;18.6;8;7;-1.5321;73
69;15.4;21.2;3;6;-6.5778;67
80;15.2;20.6;7;5;-3;69
88;15.8;23.4;7;4;3.9392;80
79;16.2;17.4;8;8;1.0419;88
71;12.3;18.6;7;7;-1.7101;79
52;14.1;18.2;8;8;-5.6382;71
70;12.5;16.7;7;3;-6.0622;52
64;13.4;17.1;4;6;-8.4265;70
64;9.6;19.7;5;7;-4.924;64
65;13.9;19.8;5;4;-5.6382;64
68;14.3;18.4;6;7;-4;65
72;13.5;18;5;3;0;68
82;10.5;18.9;7;5;1.3681;72
93;12.3;21.9;1;3;3.9392;82
115;11.3;22;3;4;2.5981;93
126;12;24.1;4;8;2.5981;115
127;13.2;24.9;2;2;0.5209;126
132;16.1;26.1;0;0;5.6382;127
109;17;25.4;7;7;7;132
108;17.4;24.8;6;8;1.9696;109
78;16.7;20.2;7;8;-6;108
76;16.1;21.5;7;7;1.9696;78
68;17.5;20.3;7;6;-2.8191;76
85;15.2;18.4;8;6;-1.5321;68
63;15.8;21.3;7;6;-3.8302;85
61;14.4;20;5;7;-3.0642;63
74;13;21.4;5;5;-1.7321;61
106;14.8;26.2;1;1;1.0261;74
89;14;23.8;3;6;-2.5981;106
70;14.9;23.4;5;6;-5.1962;89
72;14;20.3;6;6;-4.6985;70
80;15.5;20.7;4;5;-1.2155;72
74;12;21;4;3;-1.9284;80
62;15.4;21.5;7;7;-1.8794;74
67;17.6;24.2;6;7;1.9696;62
66;16.7;22.4;8;6;-0.6428;67
98;16.5;27.3;1;1;-2;66
53;14.4;20.8;8;2;-0.866;98
99;14.1;25.5;1;2;0.3473;53
97;16.3;25.1;1;1;-0.5209;99
89;16.6;23;6;8;-2.0521;97
64;19.1;23.2;7;7;-3.8302;89
75;14.8;22.9;1;5;-3;64
58;17.3;22.5;7;7;-4.6985;75
80;14.6;22.7;5;5;-3.4641;58
53;15.1;20.5;8;8;-1.3681;80
61;16.8;20.2;7;7;-1.2856;53
55;13.5;15.9;8;7;-0.342;61
70;10.5;20;4;7;-2.2981;55
85;11.9;22;6;6;4.3301;70
120;17.6;26.9;1;1;6.5778;85
140;16.8;27.8;2;0;3.2139;120
126;20.2;31.2;7;7;5.1962;140
102;18;19.8;8;2;-3.8302;126
66;14.6;21.7;6;6;-4.6985;102
68;14.6;20.1;7;7;-1.9696;66
72;14;22.3;7;7;-0.1736;68
91;14.8;23.4;5;5;4.3301;72
113;11.9;24.2;6;7;-2.2981;91
79;12.7;20.5;5;6;-5.9088;113
68;14.9;20.5;5;4;-2.0521;79
79;12.1;18.7;7;3;0.5209;68
79;6.9;19.8;5;3;1.7321;79
102;9;21.9;8;7;-2;79
64;16.8;21.4;7;8;-5.1962;102
74;11.1;20.5;5;7;-2;64
53;14.5;23.3;5;6;-1.8794;74
83;15.8;25.9;1;1;2.8191;53
95;16.3;28.5;0;0;3.7588;83
123;17.5;30.6;4;3;0.8682;95
85;17;18.6;7;3;-2.5712;123
64;11.2;18.9;7;7;-0.9848;85
70;13.6;23.1;4;7;-2.2981;64
68;15.5;22.5;7;6;-4;70
69;12.4;20.9;5;4;-3.4641;68
68;9.3;18.7;7;6;-2.8191;69
66;13.3;19.3;7;8;-3.0782;68
55;13.5;13.8;8;8;-1.0261;66
61;9.8;15.4;6;5;-2.5981;55
61;12.2;17.3;7;4;-3.5;61
64;17.7;23.4;6;5;-4.4995;61
98;15;24.9;1;1;3.2139;64
73;15.5;18.6;5;3;-3.0642;98
72;12.4;20.4;6;6;-1.0419;73
72;12.2;21.7;6;4;-4.4995;72
51;10.9;19.2;7;8;-4.4995;72
67;15.2;17.2;7;7;-4.3301;51
72;12.6;18.6;4;2;-0.8682;67
